chain_key,set,pfam_id,hsf,audit_pass,L_Pfam,L_HSF,L_fold,L_foldseek_cluster
4dvj_B,A_3.40.50.720,PF08240,3.40.50.720,False,PF08240,3.40.50.720,alpha_beta,4gi2_B
3euw_D,A_3.40.50.720,PF01408,3.40.50.720,True,PF01408,3.40.50.720,alpha_beta,3ezy_A
3hnp_B,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,4gi2_B
3kux_A,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,3ezy_A
3wbf_B,A_3.40.50.720,PF01408,3.40.50.720,True,PF01408,3.40.50.720,alpha_beta,3wbf_B
4ew6_A,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,3ezy_A
3oqb_H,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,3ezy_A
3ezy_A,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,3ezy_A
2p2s_B,A_3.40.50.720,PF01408,3.40.50.720,False,PF01408,3.40.50.720,alpha_beta,4gi2_B
3oa2_B,A_3.40.50.720,PF01408,3.40.50.720,True,PF01408,3.40.50.720,alpha_beta,3ezy_A
1gcu_A,A_3.40.50.720,PF01408,3.40.50.720,True,PF01408,3.40.50.720,alpha_beta,4gi2_B
5a62_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
4nvr_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
2xt0_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
1u2e_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
4y7d_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
4etw_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
2pl5_A,B_3.40.50.1820,PF00561,3.40.50.1820,False,PF00561,3.40.50.1820,alpha_beta,6brt_B
3fob_C,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
4hs9_A,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,4hs9_A
2r11_D,B_3.40.50.1820,PF00561,3.40.50.1820,True,PF00561,3.40.50.1820,alpha_beta,6brt_B
3llc_A,B_3.40.50.1820,PF12697,3.40.50.1820,False,PF12697,3.40.50.1820,alpha_beta,6brt_B
7wwf_B,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
5frd_A,B_3.40.50.1820,PF12697,3.40.50.1820,False,PF12697,3.40.50.1820,alpha_beta,6brt_B
2y6u_A,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
4q34_A,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
1imj_A,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,3gff_B
4ccy_B,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
6brt_B,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
1y7i_B,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
2yys_A,B_3.40.50.1820,PF12697,3.40.50.1820,True,PF12697,3.40.50.1820,alpha_beta,6brt_B
6kf1_D,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
4e15_B,B_3.40.50.1820,PF07859,3.40.50.1820,False,PF07859,3.40.50.1820,alpha_beta,6brt_B
3qh4_A,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
1vkh_A,B_3.40.50.1820,PF07859,3.40.50.1820,False,PF07859,3.40.50.1820,alpha_beta,6brt_B
5mii_A,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
4c88_C,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
1jji_B,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
4kry_E,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
2qru_A,B_3.40.50.1820,PF07859,3.40.50.1820,False,PF07859,3.40.50.1820,alpha_beta,6brt_B
2zsi_A,B_3.40.50.1820,PF07859,3.40.50.1820,True,PF07859,3.40.50.1820,alpha_beta,6brt_B
1jjf_A,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
1sfr_A,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
3gff_B,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
2uz0_A,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
4w9r_B,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,6brt_B
3mga_A,B_3.40.50.1820,PF00756,3.40.50.1820,False,PF00756,3.40.50.1820,alpha_beta,3gff_B
4h18_A,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
2qm0_B,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
1pv1_B,B_3.40.50.1820,PF00756,3.40.50.1820,True,PF00756,3.40.50.1820,alpha_beta,3gff_B
3ew3_B,C_2.60.40.10,PF00041,2.60.40.10,True,PF00041,2.60.40.10,all_beta,2h41_A
3hhr_B,C_2.60.40.10,PF00041,2.60.40.10,True,PF00041,2.60.40.10,all_beta,2h41_A
2h41_A,C_2.60.40.10,PF00041,2.60.40.10,True,PF00041,2.60.40.10,all_beta,2h41_A
1cfb_A,C_2.60.40.10,PF00041,2.60.40.10,False,PF00041,2.60.40.10,all_beta,2h41_A
5e7l_A,C_2.60.40.10,PF00041,2.60.40.10,False,PF00041,2.60.40.10,all_beta,2h41_A
4zxb_E,C_2.60.40.10,PF00041,2.60.40.10,False,PF00041,2.60.40.10,all_beta,2h41_A
5c3t_A,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
5b21_B,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
5eu6_D,C_2.60.40.10,PF07686,2.60.40.10,False,PF07686,2.60.40.10,all_beta,1oaq_L
1oaq_L,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
3bj9_1,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
2ibz_X,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
6ns1_A,C_2.60.40.10,PF07686,2.60.40.10,False,PF07686,2.60.40.10,all_beta,1oaq_L
1dcl_B,C_2.60.40.10,PF07686,2.60.40.10,False,PF07686,2.60.40.10,all_beta,1oaq_L
1a14_L,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
5c0c_J,C_2.60.40.10,PF07686,2.60.40.10,True,PF07686,2.60.40.10,all_beta,1oaq_L
1koa_A,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
5jdj_B,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
5eo9_B,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
5k6w_A,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
2j8o_B,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
4cbp_B,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
3kvq_A,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
4u7m_A,C_2.60.40.10,PF07679,2.60.40.10,False,PF07679,2.60.40.10,all_beta,1oaq_L
